Name,Wiki page type,Common Steal,Rare Steal,Common Drop,Rare Drop
Abductor (boss # 266),3,,Gaia Gear,Ether,Ether
Gilgamesh (boss #267),1,,,Elixir,Elixir
Gilgamesh (boss #268),1,Hero Cocktail,Trident,Wizard's Hat,Wizard's Hat
Tyrannosaur (boss),2,,Golden Shield,,Elixir
Abductor (boss #270),3,Hi-Potion,Power Armlet,,Potion
Golem (boss),1,Gold Needle,Gold Needle,Golem,Golem
Dragon Pod (boss),3,,,Elixir,Elixir
Dragon Flower (old version - boss),3,,,,Phoenix Down
Dragon Flower (poison version - boss),3,,,,Phoenix Down
Dragon Flower (darkness version - boss),3,,,,Phoenix Down
Dragon Flower (paralyze version - boss),3,,,,Phoenix Down
Dragon Flower (confuse version - boss),3,,,,Phoenix Down
Gilgamesh (boss #274),1,Genji Gloves,Genji Gloves,Golden Shield,Golden Shield
Enkidu (boss),2,Green Beret,Green Beret,,
Atomos (boss),2,Ether,Flail,Dark Matter,Dark Matter
Crystal (boss #277),1,,Elixir,,Ash
Crystal (boss #278),1,,Elixir,,Ash
Crystal (boss #279),1,,Elixir,,Ash
Crystal (boss #280),1,,Elixir,,Ash
Catoblepas (boss),1,,Phoenix Down,Catoblepas,Catoblepas
Gil Turtle (boss #282),2,Potion,Hi-Potion,,
Carbuncle (elemental form - boss),1,Reflect Ring,Goliath Tonic,,Turtle Shell
Carbuncle (healing form - boss),1,Reflect Ring,Goliath Tonic,,Turtle Shell
Gilgamesh  (normal form - boss #284),1,Hi-Potion,Gauntlets,,
Gilgamesh (morphed form - boss #284),1,Genji Helm,Genji Helm,Excalipoor,Excalipoor
Exdeath (Great Forest of Moore - boss),4,,,,
Exdeath (boss #285),4,Elixir,Judgement Staff,,
Antlion (boss),2,Hi-Potion,Hi-Potion,Cottage,Cottage
Melusine (fire form - boss),2,Leather Armor,Leather Armor,,Maiden's Kiss
Melusine (ice form - boss),2,Leather Cap,Leather Cap,,Maiden's Kiss
Melusine (lightning form - boss),2,Leather Shoes,Leather Shoes,,Maiden's Kiss
Melusine (physical form - boss),2,Leather Shield,Leather Shield,,Maiden's Kiss
Gargoyle (boss),2,Potion,Phoenix Down,,Hi-Potion
Pantera (boss),2,Phoenix Down,Elixir,,
Covert (boss),2,Ninja Suit,Black Cowl,,
Wendigo (boss),2,Dark Matter,Dark Matter,,
Odin (boss),1,,Protect Ring,,Flame Shield
Minotaur (boss),2,Leather Shoes,Fuma Shuriken,,
Omniscient (boss),2,Potion,Kornago Gourd,,
Triton (boss),3,Gold Needle,Elixir,,Iron Draft
Nereid (boss),2,Gold Needle,Elixir,,Power Drink
Phobos (boss),3,Gold Needle,Elixir,,Goliath Tonic
Leviathan (boss),1,Elixir,Elixir,Reflect Ring,Reflect Ring
Famed Mimic Gogo (boss),3,Leather Armor,Gold Hairpin,,Tiger Mask
Bahamut (boss),1,Dragon Fang,Dragon Fang,,Dragon Fang
Apanda (boss),2,Ash,Ash,Ash,Ash
Calofisteri (boss),2,Plumed Hat,Reflect Ring,,Diamond Plate
Azulmagia (boss),2,Elixir,Titan's Gloves,,Black Cowl
Alte Roite (boss),2,Potion,Holy Water,,Healing Staff
Jura Aevis (boss),2,Turtle Shell,Dragon Lance,Dragon Fang,Dragon Fang
Catastrophe (boss),2,Elixir,Cottage,Gold Needle,Gold Needle
Halicarnassus (boss),2,Staff of Light,Aegis Shield,,Elven Mantle
Twintania (normal form - boss),2,Phoenix Down,Flame Shield,,Tinklebell
Twintania (charging form - boss),2,Titan's Axe,Titan's Axe,,Murasame
Gilgamesh (boss #307),1,Genji Shield,Genji Shield,,Rune Bow
Necrophobe (boss),2,Elixir,Thief's Gloves,,Luminous Robe
Barrier (boss),1,Hi-Potion,Reflect Ring,,
Gilgamesh (boss #310),1,Genji Armor,Genji Armor,,
Omega (boss),2,,,Omega Badge,Omega Badge
Shinryu (boss),2,Dragon Fang,Dragon's Whisker,Dragon Seal,Dragon Seal
Exdeath (boss #313),4,Phoenix Down,Wonder Wand,,
Neo Exdeath (front part - boss),2,,Murakumo,,
Neo Exdeath (top part - boss),2,,Dragon Lance,,
Neo Exdeath (middle part - boss),2,Fuma Shuriken,Fuma Shuriken,,
Neo Exdeath (back part - boss),2,,Ragnarok,,
Gil Turtle (Sealed Temple - boss),2,Potion,Hi-Potion,,Grand Helm
Grand Aevis (boss),2,Cottage,Cottage,Fairy's Bow,Fairy's Bow
Archeodemon (boss),2,Phoenix Down,Phoenix Down,Chaos Orb,Chaos Orb
Guardian (boss),2,Blitzshot,Blitzshot,Crystal Orb,Crystal Orb
Launcher (boss #318),4,Blastshot,Blastshot,,
Launcher (boss #319),4,Blastshot,Blastshot,,
Wave Cannon (boss),2,Blitzshot,Blitzshot,,
Omega Mk.II (lightning form - boss),3,Elixir,Elixir,Force Shield,Force Shield
Omega Mk.II (ice form - boss),3,Elixir,Elixir,Force Shield,Force Shield
Omega Mk.II (fire form - boss),3,Elixir,Elixir,Force Shield,Force Shield
Neo Shinryu (invulnerable form - boss),3,,,,
Neo Shinryu (vulnerable form - boss),3,Elixir,Elixir,,
Enuo (1st phase - boss),1,,,,
Enuo (2nd phase - boss),1,,Bone Mail,,
LHand,1,,,,
RHand,1,,,,
